name,title,review,rating,rating_out_of,date
Shweta,Seems authentic,Looks authentic...lot different than regular honey we are using so far..even after few days of shelf life it's not like sugar particals..will buy again..,5.0,5.0,2021-11-26
Altaf,Honey with full of sugar. Fake honey.,,1.0,5.0,2021-11-25
Aditya,Note,Bahut sare try kare h maine but boss ye waha bahut sahi hai . Great packaging .,5.0,5.0,2021-11-25
NAVEEN KUMAR,Worst product Only sugar,Worst product this is.Only sugar. That too bad smell like hell,1.0,5.0,2021-11-24
Suresh,Good tastes,Good taste,5.0,5.0,2021-11-24
soumya,Sugar syrup.Money gained by cheating others will soon be gone,It's actually a sugar syrup.making money by cheating others will soon be gone,1.0,5.0,2021-11-24
shishir baghel,Honey not gud,When seal is opend how to trust ur honey. And how to use that product,5.0,5.0,2021-11-23
Mohit Tanwar,"FAKE HONEY, ITS JUST CORN SYRUP AND SOME SUGAR","This honey has failed cse nmr testing multiple times, also agter using this once I can assure that I’m never going to buy this again. You can easily tell by the taste And consistency of the honey. That this is a fake honey which is adulterated by many low quality and standard compounds",1.0,5.0,2021-11-23
banoth yadgir,It's not good product,It's not good product,1.0,5.0,2021-11-22
veera siva,Worth buy,Value for money,5.0,5.0,2021-11-22
Vivek Tanwar,Amazing honey,"Real honey tasted after a long time. The moment u pop up the bottle u will get to the authenticity of it.Must try , value for money. Great product",5.0,5.0,2021-11-21
Bharat,Best quality,Honey is my favorite from my childhood.I have tried many brands and after that I have found this brand,5.0,5.0,2021-11-20
Amazon Customer,Waste of money,Honey is frozen no taste.,1.0,5.0,2021-11-20
GM,Excellent product!,One of the best honey that I've bought in a long time. Really good quality.. will definitely buy it again!,5.0,5.0,2021-11-20
Dr.Vijay Challa,Dead ants seen inside the honey. Need full return.,Poor unchecked quality of honey with dead ants lying inside,1.0,5.0,2021-11-19
Suji,Real Honey,"I really like the honey, it is genuine product",5.0,5.0,2021-11-19
Sudhakar,It is really natural taste . Good honey don't worry easy to buy,"Good honey 🍯,, tasty.",5.0,5.0,2021-11-19
Chandru,Worth for money,Really superb and neat packing. Honey was so pure  and worth it.,5.0,5.0,2021-11-19
SHIVARAM,Super naturally,Good natural taste. Smell taste totally natural honey. B3st forest Honey. Tq Amazon raw organically every person must and use,4.0,5.0,2021-11-18
Parul Sancheti,Good product,This honey is good but can’t exactly say for it’s naturality until it’s being tested.It has some sugar layer at the top.which they show is fit for use.,4.0,5.0,2021-11-18
JAKIR H.,Kj,Good,5.0,5.0,2021-11-18
Partha ch. Sinha,Trust me it's excellent,"I am a health conscious person,so honey is in my routine,I used dabar 🍯, patanjali etc,they all are 100% fake,i was in a search of real honey at affordable price,I even consume honey of rs 3000 per kg,but it was too costly for me,and I decided to try this one,I was not sure ,it will be up to the mark or not,but after having this ,I am really happy 🤗🤗",5.0,5.0,2021-11-18
Dr Ashutosh,Looks completely authentic to me...,Buy this one..,5.0,5.0,2021-11-18
Ashik Ahammod,Awesome,Amazing taste. Way better taste than Dabur honey.,5.0,5.0,2021-11-16
Jitendra singh,Excellent product awesome experience,Keep up the good product making.....good product always recommendsIndigenous honey product is awesome experience I lkoe it ni ce,5.0,5.0,2021-11-16
